dt,strategy_mv,spy_mv
2020-09-30,1000000.0,1000000.0
2020-10-01,996144.454,1001281.4000000001
2020-10-02,939309.2110000001,996522.9999999999
2020-10-05,954169.1920000002,1007090.2
2020-10-06,941532.631,994179.6100000002
2020-10-07,962570.0250000001,1014940.2399999998
2020-10-08,993963.855,1027488.3400000001
2020-10-09,993783.1980000002,1042073.9100000001
2020-10-12,1002807.6680000001,1071932.4900000002
2020-10-13,949234.049,1058226.79
2020-10-14,931626.874,1044452.5900000001
2020-10-15,950841.544,1041759.5
2020-10-16,1009938.5379999997,1040380.6399999999
2020-10-19,990947.2539999996,1005706.8799999997
2020-10-20,1009826.8319999999,1015509.23
2020-10-21,1012701.941,1010666.7300000003
2020-10-22,1072588.4809999997,1024667.0900000003
2020-10-23,1073278.8209999998,1032685.0999999995
2020-10-26,1009260.3049999996,988888.0399999996
2020-10-27,955902.2759999995,980528.3900000006
2020-10-28,876688.7359999996,897932.1900000008
2020-10-29,908578.9509999998,917643.0300000005
2020-10-30,907826.3969999999,898337.7500000002
2020-11-02,950419.4109999996,915590.9899999999
2020-11-03,986257.7229999998,939406.5399999998
2020-11-04,957227.0329999995,970084.8900000001
2020-11-05,971637.0429999996,989488.09
2020-11-06,962074.8689999995,989375.93
2020-11-09,1082742.2489999994,996785.5300000003
2020-11-10,1055760.7699999996,996057.5300000001
2020-11-11,1026107.3749999997,1000478.56
2020-11-12,1005613.0749999995,994662.3
2020-11-13,1041592.2049999996,1001503.4100000001
2020-11-16,1080843.0349999995,1009004.0700000002
2020-11-17,1109696.2249999994,1005731.97
2020-11-18,1093995.5949999995,998445.1099999999
2020-11-19,1071474.9449999996,1000546.6099999999
2020-11-20,1067503.8109999995,998493.5099999999
2020-11-23,1068371.3109999995,999679.9199999999
2020-11-24,1071087.3109999995,1002888.24
2020-11-25,1078169.2109999994,1002576.32
2020-11-27,1079370.4109999996,1003138.89
2020-11-30,1077134.2609999995,1001799.37
2020-12-01,1084895.5109999995,1005094.0899999999
2020-12-02,1082699.0209999995,1005945.71
2020-12-03,1096396.2209999994,1005835.1099999999
2020-12-04,1104953.6209999993,1009330.0700000001
2020-12-07,1106639.9709999994,1008489.51
2020-12-08,1112683.5709999995,1009683.99
2020-12-09,1117530.0709999993,1006925.0700000001
2020-12-10,1126014.9709999994,1006858.7100000001
2020-12-11,1121523.9709999994,1006620.9199999999
2020-12-14,1120755.4859999996,1005264.64
2020-12-15,1127803.8059999994,1009341.7500000001
2020-12-16,1126130.6859999995,1009821.41
2020-12-17,1128288.8259999994,1010966.12
2020-12-18,1128331.9759999996,1009273.94
2020-12-21,1122404.0559999994,1008543.9800000001
2020-12-22,1122683.3259999994,1008371.0
2020-12-23,1125928.1759999995,1008463.0700000001
2020-12-24,1123527.8759999995,1008862.04
2020-12-28,1126417.1259999995,1009746.4700000001
2020-12-29,1121572.0759999994,1009548.38
2020-12-30,1121616.5259999994,1009696.25
2020-12-31,1123527.8759999995,1010223.56
2021-01-04,1119705.1759999995,1008803.4500000001
2021-01-05,1123184.8459999994,1010901.49
2021-01-06,1150914.7399999995,1013339.0499999999
2021-01-07,1165486.9599999995,1020936.9999999999
2021-01-08,1171011.8729999994,1024475.0799999998
2021-01-11,1168114.3779999993,1018885.33
2021-01-12,1190528.2249999994,1019102.37
2021-01-13,1192563.3049999992,1022144.0100000001
2021-01-14,1198672.0849999995,1018177.95
2021-01-15,1185737.4799999995,1009955.9100000003
2021-01-19,1198064.0109999995,1020325.1599999999
2021-01-20,1203796.8779999998,1040179.5200000003
2021-01-21,1181890.4349999994,1041592.8200000003
2021-01-22,1189624.1499999994,1036101.14
2021-01-25,1244744.9049999996,1042598.6700000002
2021-01-26,1337575.1249999995,1040034.27
2021-01-27,1313317.0259999998,1014952.1500000001
2021-01-28,1312752.9659999995,1026099.79
2021-01-29,1278744.8299999996,997870.7500000001
2021-02-01,1313026.6199999996,1020872.1900000001
2021-02-02,1339754.65,1040737.0700000002
2021-02-03,1334858.6599999997,1041776.8700000003
2021-02-04,1372575.8399999996,1053408.07
2021-02-05,1377952.7199999995,1057481.67
2021-02-08,1417715.6699999995,1066480.87
2021-02-09,1415175.0849999997,1065714.1300000001
2021-02-10,1431304.1479999996,1065199.2000000002
2021-02-11,1439407.9119999995,1066823.3400000003
2021-02-12,1437834.1439999996,1071930.12
2021-02-16,1463048.6239999998,1070843.1400000004
2021-02-17,1478187.6539999996,1071130.87
2021-02-18,1476799.1039999998,1065791.8800000004
2021-02-19,1530970.5639999998,1063585.95
2021-02-22,1538082.2339999995,1053994.95
2021-02-23,1522969.5179999997,1054959.3900000001
2021-02-24,1525567.1579999998,1063721.4300000002
2021-02-25,1510162.4319999996,1050118.3900000001
2021-02-26,1505584.3519999997,1048483.2900000002
2021-03-01,1549821.4359999995,1061040.9300000002
2021-03-02,1534945.5029999996,1058575.4900000002
2021-03-03,1545131.8629999997,1054423.1700000002
2021-03-04,1535561.6829999995,1050595.2500000002
2021-03-05,1540257.3829999997,1056215.4800000002
2021-03-08,1558541.7129999995,1054666.4700000002
2021-03-09,1569351.1329999997,1059086.4200000002
2021-03-10,1565256.3429999996,1061040.9300000002
2021-03-11,1578917.0429999996,1064244.3800000001
2021-03-12,1592320.9229999995,1064674.2100000002
2021-03-15,1536812.4029999995,1065329.8600000003
2021-03-16,1534678.8029999996,1065190.3600000003
2021-03-17,1540812.9029999995,1065567.0100000002
2021-03-18,1535434.4529999995,1063954.3900000001
2021-03-19,1515698.6529999995,1063396.3900000001
2021-03-22,1513742.8529999994,1064264.08
2021-03-23,1501963.6029999994,1063401.9700000002
2021-03-24,1494762.7029999995,1062849.5500000003
2021-03-25,1502052.5029999996,1063457.7700000003
2021-03-26,1504941.7529999996,1065209.8900000001
2021-03-29,1508808.9029999995,1065154.0900000003
2021-03-30,1519565.8029999996,1064861.1400000001
2021-03-31,1523788.5529999996,1065307.5400000003
2021-04-01,1524455.3029999994,1066501.6600000001
2021-04-05,1524144.1529999995,1068105.9100000001
2021-04-06,1529300.3529999994,1068038.9500000002
2021-04-07,1515265.4929999996,1068416.83
2021-04-08,1521127.5029999996,1069968.5500000003
2021-04-09,1516305.1629999995,1073678.08
2021-04-12,1523291.2429999996,1073930.6800000002
2021-04-13,1537024.7529999996,1076589.0600000003
2021-04-14,1532544.6129999994,1072830.0
2021-04-15,1554966.4629999995,1086607.1400000001
2021-04-16,1580277.8029999996,1091581.9500000002
2021-04-19,1550656.0029999996,1084245.0
2021-04-20,1559120.1129999997,1073364.8400000003
2021-04-21,1575196.2329999995,1089249.54
2021-04-22,1585005.3529999994,1071982.34
2021-04-23,1639574.4029999995,1092294.0200000003
2021-04-26,1669781.6429999997,1096634.4500000002
2021-04-27,1635719.2029999995,1096524.74
2021-04-28,1640655.1029999994,1096324.94
2021-04-29,1624552.6229999992,1101940.2000000002
2021-04-30,1620357.2029999993,1096113.84
2021-05-03,1601584.8129999996,1098013.74
2021-05-04,1518777.4429999993,1092567.36
2021-05-05,1527083.5829999994,1092777.4400000002
2021-05-06,1495690.5029999996,1098142.56
2021-05-07,1523640.9629999995,1103071.36
2021-05-10,1474513.7029999993,1096316.48
2021-05-11,1448854.7329999995,1090288.8
2021-05-12,1402924.0529999994,1076068.0
2021-05-13,1411122.9029999995,1084220.3800000001
2021-05-14,1430174.8229999996,1091956.78
2021-05-17,1437567.4629999993,1089914.1600000001
2021-05-18,1447439.9829999995,1083015.5000000002
2021-05-19,1442370.9329999993,1080934.3400000003
2021-05-20,1448391.2129999993,1089451.6800000002
2021-05-21,1456438.462999999,1088947.8000000003
2021-05-24,1479129.8129999994,1097137.0800000003
2021-05-25,1481243.3629999994,1095805.3200000003
2021-05-26,1492446.6829999993,1096993.8800000001
2021-05-27,1490449.2579999997,1097055.2600000002
2021-05-28,1488849.0579999997,1097264.5100000002
2021-06-01,1493205.1579999996,1097161.2800000003
2021-06-02,1492316.1579999996,1097345.4200000002
2021-06-03,1490582.6079999995,1096910.1800000002
2021-06-04,1493827.4579999996,1097978.7500000002
2021-06-07,1495738.8079999997,1097864.36
2021-06-08,1494938.7079999996,1097889.4700000002
2021-06-09,1490982.6579999996,1097713.7000000002
2021-06-10,1484004.0079999997,1098260.5400000003
2021-06-11,1485915.3579999995,1098455.8400000003
2021-06-14,1483781.7579999997,1098720.8900000001
2021-06-15,1483292.8079999997,1098503.2700000003
2021-06-16,1482581.6079999995,1097842.0400000003
2021-06-17,1474047.2079999996,1097802.9800000002
2021-06-18,1464357.1079999995,1095836.0300000003
2021-06-21,1549145.0979999995,1099845.5300000003
2021-06-22,1551583.4279999996,1101364.2800000003
2021-06-23,1556528.9479999996,1101020.0300000003
2021-06-24,1559689.0179999995,1102707.5300000003
2021-06-25,1563379.9179999996,1103726.7800000003
2021-06-28,1567585.7179999996,1104307.2800000003
2021-06-29,1566890.3179999997,1104551.5400000003
2021-06-30,1572113.2179999996,1104933.8600000003
2021-07-01,1568366.0079999997,1107123.7400000002
2021-07-02,1566862.6479999998,1111430.3500000003
2021-07-06,1553896.8979999996,1110194.0000000005
2021-07-07,1544372.4979999997,1112980.1300000001
2021-07-08,1527851.0679999997,1105627.5500000003
2021-07-09,1550425.1879999998,1116359.35
2021-07-12,1556149.1679999998,1119998.8300000003
2021-07-13,1539311.378,1116141.2200000004
2021-07-14,1517806.1979999996,1117824.07
2021-07-15,1503290.9179999998,1113966.4600000004
2021-07-16,1485294.478,1103828.5300000003
2021-07-19,1461067.008,1084890.5200000005
2021-07-20,1490134.8779999998,1102996.0900000003
2021-07-21,1514159.3379999998,1112028.2100000004
2021-07-22,1510847.9079999998,1114382.3800000004
2021-07-23,1518132.3379999998,1125972.1400000004
2021-07-26,1511147.2479999997,1128623.5400000003
2021-07-27,1509862.3479999995,1124203.5500000005
2021-07-28,1525552.9679999996,1123807.7300000002
2021-07-29,1526366.6679999996,1126645.11
2021-07-30,1520970.5779999995,1123308.8500000003
2021-08-02,1522916.2079999996,1121874.5700000003
2021-08-03,1530927.5779999997,1127880.2900000003
2021-08-04,1523199.0780000002,1125332.7100000004
2021-08-05,1563953.948,1128952.2700000007
2021-08-06,1559296.1580000003,1129902.7300000002
2021-08-09,1577482.9779999997,1129525.8100000005
2021-08-10,1581637.876,1129960.8600000003
2021-08-11,1590505.816,1130830.9600000004
2021-08-12,1590385.0359999998,1131542.5100000002
2021-08-13,1591358.4259999997,1131975.8600000003
2021-08-16,1587587.076,1132537.6100000003
2021-08-17,1584255.716,1130970.0600000005
2021-08-18,1582144.2859999998,1128369.9600000004
2021-08-19,1578127.6459999997,1128733.7600000002
2021-08-20,1583964.726,1130606.2600000002
2021-08-23,1580457.1959999998,1131694.3600000003
2021-08-24,1580590.5459999999,1131892.4500000004
2021-08-25,1568788.086,1132391.5900000003
2021-08-26,1563826.2659999998,1130984.4400000004
2021-08-27,1569032.456,1133103.1300000004
2021-08-30,1575229.456,1134651.4900000005
2021-08-31,1584957.166,1134127.5500000003
2021-09-01,1586068.0659999999,1134315.2300000002
2021-09-02,1589947.346,1135402.2100000004
2021-09-03,1592862.106,1135316.1900000004
2021-09-07,1585899.8359999997,1134049.3500000003
2021-09-08,1585991.3760000002,1133619.2500000002
2021-09-09,1547702.9159999997,1132596.3500000006
2021-09-10,1543761.356,1130720.1500000004
2021-09-13,1547789.8159999996,1131324.3500000003
2021-09-14,1547025.676,1130047.0500000005
2021-09-15,1547326.336,1132013.3500000006
2021-09-16,1541955.886,1131637.0500000005
2021-09-17,1538369.9259999997,1128578.9500000004
2021-09-20,1536507.0259999998,1124678.1500000004
2021-09-21,1536134.4459999998,1124460.8500000006
2021-09-22,1538166.6559999997,1126702.7500000005
2021-09-23,1536623.396,1129522.3500000003
2021-09-24,1535433.736,1129909.2500000005
2021-09-27,1534582.696,1129236.1500000004
2021-09-28,1532043.6359999997,1121671.9900000005
2021-09-29,1531729.0859999997,1122291.0300000005
2021-09-30,1539351.376,1117788.1500000004
2021-10-01,1537735.1159999997,1122112.9500000004
2021-10-04,1536418.896,1115919.3500000003
2021-10-05,1544299.846,1120852.1100000003
2021-10-06,1543487.62,1124354.9100000001
2021-10-07,1549614.45,1131671.8700000003
2021-10-08,1555478.5199999998,1129857.4700000002
2021-10-11,1544745.34,1122154.3700000003
2021-10-12,1544000.35,1119380.9300000004
2021-10-13,1547124.93,1123926.7700000003
2021-10-14,1561858.5999999999,1145257.2500000002
2021-10-15,1578932.71,1155077.4300000002
2021-10-18,1597244.09,1159009.7100000004
2021-10-19,1587739.17,1169287.2600000002
2021-10-20,1616298.3699999999,1174216.7100000004
2021-10-21,1615457.72,1177885.33
2021-10-22,1605663.0599999996,1176503.0600000003
2021-10-25,1616212.5599999996,1182850.2200000002
2021-10-26,1599599.69,1183658.7400000002
2021-10-27,1575321.1899999997,1179047.0800000003
2021-10-28,1591782.5699999998,1186922.32
2021-10-29,1588898.4,1188594.4600000002
2021-11-01,1624117.0499999998,1190014.8800000001
2021-11-02,1623276.92,1193359.1600000001
2021-11-03,1646897.311,1198390.04
2021-11-04,1642600.8809999998,1201250.1800000004
2021-11-05,1653623.051,1203114.8000000003
